bigg.metabolite,Metabolite name (full),Acetate (mean),Fructose (mean),Galactose (mean),Glucose (mean),Glycerol (mean),Gluconate (mean),Pyruvate (mean),Succinate (mean),,Acetate (std),Fructose (std),Galactose (std),Glucose (std),Glycerol (std),Gluconate (std),Pyruvate (std),Succinate (std)
nadh_c,Nicotinamide-adenine-dinucleotide-reduced,0.0503,1.0497,0.2898,0.0631,0.163,0.0602,0.2018,0.0834,,0.0375,0.7427,0.0928,0.003,0.0276,0.0035,0.1711,0.0187
nadp_c,Nicotinamide-adenine-dinucleotide-phosphate,0.0263,0.0195,0.0168,0.026,0.0203,0.0153,0.0184,0.0256,,0.0015,0.0005,0.0012,0.0008,0.0009,0.0006,0.0007,0.0006
nadph_c,Nicotinamide-adenine-dinucleotide-phosphate-reduced,0.1674,0.2013,0.1378,0.262,0.1684,0.2372,0.133,0.1828,,0.057,0.024,0.0312,0.0212,0.0081,0.0428,0.008,0.0195
13dpg_c,3-Phospho-D-glyceroyl-phosphate,0.0962,0.0867,0.1625,0.1168,0.0812,0.1022,0.0662,0.1589,,0.0179,0.0062,0.0513,0.0044,0.0116,0.018,0.0053,0.0202
2ddg6p_c,2-dehydro-3-deoxy-D-gluconate 6-phosphate,0.0131,0.0198,0.0245,0.0265,0.0143,0.0361,0.0315,0.0109,,0.0017,0.0117,0.0009,0.0019,0.0025,0.0036,0.0081,0.0013
f6p_c,D-Fructose-6-phosphate,0.4712,0.5669,0.2868,0.7727,0.4799,0.5771,0.6627,1.3069,,0.0488,0.0407,0.0191,0.0668,0.0746,0.0346,0.0816,0.0768
dhap_c,Dihydroxyacetone-phosphate,1.5292,4.1022,1.0031,3.0367,4.0539,2.4068,1.1062,1.341,,0.0777,1.2576,0.0367,0.1986,0.2534,0.2917,0.0515,0.3009
g6p_c,D-Glucose-6-phosphate,0.8942,1.3694,7.3059,2.1831,0.6147,1.2374,1.2891,3.0861,,0.0248,0.1307,0.1914,0.0412,0.0876,0.2238,0.072,0.0633
6pgc_c,6-Phospho-D-gluconate,0.2511,0.1083,1.054,0.6406,0.0644,2.1339,0.5444,0.2314,,0.0109,0.0152,0.0516,0.104,0.0314,0.1068,0.061,0.0568
pep_c,Phosphoenolpyruvate,0.5633,0.9658,0.4054,0.8123,0.7182,0.6947,0.397,1.9015,,0.0622,0.1437,0.0352,0.182,0.2188,0.1237,0.0317,0.1541
pyr_c,Pyruvate,6.9351,1.7189,7.2445,3.2319,4.6476,1.565,NaN,8.2533,,1.3275,0.2304,3.7669,0.8002,2.114,0.5685,NaN,5.6855
2pg_c+3pg_c,"D-Glycerate-2-phosphate,  D-Glycerate-3-phosphate",0.993,1.723,0.7267,1.8304,1.529,1.4636,0.686,3.0342,,0.0799,0.1729,0.0534,0.0864,0.0977,0.0479,0.0935,0.4666
fdp_c,D-Fructose-1-6-bisphosphate,0.6138,2.7063,0.8152,2.6702,2.387,1.6722,0.3158,0.6677,,0.025,0.4631,0.0347,0.0526,0.1375,0.0347,0.0385,0.0532
e4p_c,D-Erythrose-4-phosphate,0.0572,0.0346,0.056,0.0613,0.0483,0.0417,0.0487,0.0547,,0.0005,0.002,0.0015,0.0007,0.0136,0.0027,0.0016,0.0031
r5p_c,alpha-D-Ribose-5-phosphate,0.0881,0.1935,0.0941,0.5295,0.1186,0.5737,0.0522,0.1818,,0.0109,0.0997,0.0168,0.145,0.0218,0.0375,0.0005,0.0648
ru5p__D_c,D-Ribulose-5-phosphate,0.3205,0.5335,0.4662,1.5151,0.2964,1.6462,0.2591,0.5195,,0.0347,0.1595,0.0836,0.0857,0.037,0.3791,0.0197,0.0528
s7p_c,Sedoheptulose-7-phosphate,2.4824,1.7498,2.659,8.2715,3.0371,12.971,6.8182,8.978,,0.1495,0.322,0.2586,0.059,0.4341,2.1579,0.3623,1.2287
xu5p__D_c,D-Xylulose-5-phosphate,0.2856,0.4865,0.4321,1.3676,0.2801,1.3562,0.2353,0.4975,,0.043,0.1521,0.0741,0.0996,0.0342,0.1101,0.0287,0.0497
cit_c,Citrate,2.7839,1.1143,1.2921,1.6166,0.8385,1.105,11.1676,1.0634,,0.1331,0.1476,0.0648,0.1489,0.0548,0.0969,0.8437,0.6715
akg_c,2-Oxoglutarate,0.5795,1.1131,0.196,1.465,0.9517,1.0133,0.8543,2.1508,,0.0946,0.0802,0.0399,0.2142,0.0984,0.3973,0.2364,0.1671
fum_c,Fumarate,1.389,1.6091,0.5485,1.261,0.738,1.139,1.3499,10.3282,,0.0404,0.2953,0.0797,0.2001,0.1421,0.1855,0.2062,1.2615
icit_c,Isocitrate,0.095,0.0147,0.0369,0.0188,0.0188,0.0174,0.562,0.0335,,0.0045,0.0031,0.0015,0.0046,0.004,0.0019,0.0547,0.0028
mal__L_c,L-Malate,3.864,3.942,1.5884,3.8763,2.1172,2.8193,2.3625,24.8905,,0.2881,0.3075,0.0583,0.1684,0.1636,0.0963,0.0893,1.2321
succ_c,Succinate,2.1541,2.0753,2.3828,2.7262,1.414,1.7915,1.8568,NaN,,0.513,0.2372,1.4673,0.445,0.1225,0.1917,1.1871,NaN
camp_c,cyclic-AMP,0.0104,0.008,0.0074,0.004,0.0118,0.0036,0.0085,0.0131,,0.0015,0.0013,0.0011,0.0011,0.0008,0.0009,0.0003,0.002
f1p_c,Fructose-1-phosphate,0.0495,0.981,0.0482,0.2982,0.0727,0.165,0.0472,0.052,,0.0081,0.0433,0.006,0.024,0.0123,0.0092,0.0145,0.0108
gal1p_c,Galactose-1-phosphate,0.0409,0.0458,0.1382,0.0444,0.052,0.0451,0.0528,0.0811,,0.0011,0.013,0.016,0.0087,0.0195,0.0045,0.0102,0.0126
glyc3p_c,Glycerol-3-phosphate,0.5276,0.4897,0.578,0.247,2.7063,0.2223,0.4625,0.7528,,0.1599,0.0661,0.043,0.0235,0.0944,0.0236,0.0939,0.1695
