Gene	b#	
pspD	b1307
pspE	b1308
pssA	b2585
pstA	b3726
pstB	b3725
pstC	b3727
pth	b1204
ptrA	b2821
ptsG	b1101
ptsH	b2415
ptsI	b2416
purA	b4177
purC	b2476
purD	b4005
purE	b0523
purF	b2312
purH	b4006
purK	b0522
purL	b2557
purM	b2499
purN	b2500
purR	b1658
putA	b1014
putP	b1015
pykA	b1854
pykF	b1676
pyrB	b4245
pyrC	b1062
pyrD	b0945
pyrE	b3642
pyrF	b1281
pyrG	b2780
pyrI	b4244
queA	b0405
racC	b1351
rbsA	b3749
rbsB	b3751
rbsC	b3750
rbsD	b3748
rbsK	b3752
rbsR	b3753
rcsA	b1951
rcsB	b2217
rcsC	b2218
recA	b2699
recB	b2820
recC	b2822
recD	b2819
recE	b1350
recF	b3700
recG	b3652
recJ	b2892
recN	b2616
recO	b2565
recQ	b3822
recR	b0472
relA	b2784
relB	b1564
rep	b3778
hldD	b3619
rfaH	b3842
wecA	b3784
fliD	b1924
rhaR	b3906
rhaS	b3905
rhlB	b3780
rho	b3783
rhsA	b3593
rhsB	b3482
rhsC	b0700
rhsD	b0497
rimI	b4373
rimJ	b1066
rimK	b0852
rimL	b1427
rlpA	b0633
lptE	b0641
rna	b0611
rnc	b2567
rnd	b1804
rne	b1084
rnhA	b0214
rnhB	b0183
rnpA	b3704
rph'	b3643
rplA	b3984
rplB	b3317
rplC	b3320
rplD	b3319
rplE	b3308
rplF	b3305
rplI	b4203
rplJ	b3985
rplK	b3983
rplL	b3986
rplM	b3231
rplN	b3310
rplO	b3301
rplP	b3313
rplQ	b3294
rplR	b3304
rplS	b2606
rplT	b1716
rplV	b3315
rplW	b3318
rplX	b3309
rplY	b2185
rpmB	b3637
rpmC	b3312
rpmD	b3302
rpmE	b3936
rpmF	b1089
rpmG	b3636
rpmH	b3703
rpoA	b3295
rpoB	b3987
rpoC	b3988
rpoD	b3067
rpoH	b3461
rpoN	b3202
rpoZ	b3649
rpsA	b0911
rpsB	b0169
rpsC	b3314
rpsD	b3296
rpsE	b3303
rpsF	b4200
rpsG	b3341
rpsH	b3306
rpsI	b3230
rpsJ	b3321
rpsK	b3297
rpsL	b3342
rpsM	b3298
rpsN	b3307
rpsO	b3165
rpsP	b2609
rpsQ	b3311
rpsR	b4202
rpsS	b3316
rpsT	b0023
rpsU	b3065
ftnA	b1905
coaA	b3974
ruvA	b1861
ruvB	b1860
ruvC	b1863
sbcB	b2011
sbcC	b0397
sbmA	b0377
sbp	b3917
sdaA	b1814
sdhA	b0723
sdhB	b0724
sdhC	b0721
sdhD	b0722
sdiA	b1916
secA	b0098
secB	b3609
secD	b0408
secE	b3981
secF	b0409
selA	b3591
selB	b3590
selD	b1764
serA	b2913
serB	b4388
serC	b0907
serS	b0893
maeA	b1479
sfsA	b0146
slt	b4392
ytjB	b4387
bamE	b2617
sodA	b3908
sodB	b1656
prlF	b3129
sohB	b1272
soxR	b4063
soxS	b4062
speA	b2938
speB	b2937
speC	b2965
speD	b0120
speE	b0121
speF	b0693
gmk	b3648
spoT	b3650
trmH	b3651
sppA	b1766
srlA	b2702
srlB	b2704
srlD	b2705
