Gene	b#	
prpB	b0331
prpD	b0334
prpE	b0335
yaiT'	b4580
yaiV	b0375
yaiW	b0378
proY	b0402
yajO	b0419
dxs	b0420
yajQ	b0426
yajR	b0427
allA	b0505
allR	b0506
ybbW	b0511
allB	b0512
ybbY	b0513
glxK	b0514
allE	b0515
allC	b0516
allD	b0517
mhpF	b0351
ylbF	b0520
ybcK	b0544
ybcL	b0545
ybcM	b0546
ybcN	b0547
ybcO	b0549
quuD	b0551
essD	b0554
rrrD	b0555
rzpD	b0556
borD	b0557
ybcV	b0558
ybcW	b0559
tfaD'	b0561
ybcY'	b0562
cusS	b0570
ybdJ	b0580
ybdK	b0581
citC	b0618
citA	b0619
ybeQ	b0644
ybeR	b0645
djlB	b0646
ybeT	b0647
ybeU	b0648
djlC	b0649
hscC	b0650
ybeX	b0658
ybeY	b0659
ybeZ	b0660
miaB	b0661
ubiF	b0662
chiP	b0681
chiQ	b0682
rhsO'	b0703
zitB	b0752
ybgS	b0753
ybhH	b0769
ybhI	b0770
ybhJ	b0771
ybhK	b0780
ybhL	b0786
ybhM	b0787
ybhN	b0788
clsB	b0789
ybhP	b0790
ybhQ	b0791
ybhR	b0792
ybhS	b0793
ybjG	b0841
ybjH	b0843
ybjI	b0844
ybjJ	b0845
rcdA	b0846
ybjL	b0847
ybjM	b0848
ybjN	b0853
ybjO	b0858
ybjP	b0865
ybjQ	b0866
amiD	b0867
ybjS	b0868
ybjT	b0869
ltaE	b0870
hcr	b0872
hcp	b0873
ybjX	b0877
macA	b0878
macB	b0879
mdfA	b0842
ycaM	b0899
ycaN	b0900
ycaO	b0905
ycaP	b0906
ycaQ	b0916
ycbJ	b0919
ycbK	b0926
ycbL	b0927
ssuC	b0934
ssuD	b0935
ssuA	b0936
ssuE	b0937
elfA	b0938
elfD	b0939
elfC	b0940
elfG	b0941
ycbU	b0942
ycbV	b0943
zapC	b0946
ycbX	b0947
rlmL	b0948
ycbZ	b0955
pqiC	b0952
sxy	b0959
yccS	b0960
yccT	b0964
yccU	b0965
hspQ	b0966
rlmI	b0967
yccX	b0968
etp	b0982
gfcE	b0983
gfcD	b0984
gfcC	b0985
gfcB	b0986
gfcA	b0987
ydbL	b1383
paaZ	b1387
paaA	b1388
paaC	b1390
paaD	b1391
paaE	b1392
paaF	b1393
paaG	b1394
paaH	b1395
paaI	b1396
paaJ	b1397
paaK	b1398
paaX	b1399
paaY	b1400
ynbA	b1408
ynbB	b1409
ynbC	b1410
ynbD	b1411
ydcI	b1422
ydcJ	b1423
ydcK	b1428
ydcL	b1431
insQ	b1432
ydcN	b1434
ydcO	b1433
ydcP	b1435
hicB	b1438
ydcR	b1439
ydcS	b1440
ydcT	b1441
ydcU	b1442
ydcV	b1443
patD	b1444
ydcX	b1445
ydcY	b1446
ydcZ	b1447
mnaT	b1448
curA	b1449
mcbR	b1450
yncD	b1451
yncE	b1452
ansP	b1453
yncG	b1454
yncH	b1455
yddH	b1462
nhoA	b1463
yddK'	b1471
yddL'	b1472
yddM	b1477
ddpF	b1483
ddpD	b1484
ddpC	b1485
ddpB	b1486
ddpA	b1487
ddpX	b1488
dosP	b1489
dosC	b1490
yddW	b1491
ydeM	b1497
ydeN	b1498
ydeO	b1499
ydeP	b1501
ydeQ	b1502
ydeR	b1503
ydeS	b1504
ydeT'	b1505
lsrK	b1511
lsrR	b1512
lsrA	b1513
lsrC	b1514
lsrD	b1515
lsrB	b1516
lsrF	b1517
lsrG	b1518
tam	b1519
yneE	b1520
yneF	b1522
yneG	b1523
glsB	b1524
sad	b1525
yneJ	b1526
yneK	b1527
rspR	b1540
ydfI	b1542
ydfJ'	b4600
ydfK	b1544
pinQ	b1545
tfaQ	b1546
stfQ	b1547
ydfO	b1549
rzpQ	b1553
rrrQ	b1554
ydfR	b1555
essQ	b1556
quuQ	b1559
ydfU	b1560
ydfV	b1565
intK'	b1567
ydfX'	b1568
gnsB	b1550
ydfZ	b1541
ynfA	b1582
ynfB	b1583
ynfC	b1585
ynfD	b1586
ynfE	b1587
ynfF	b1588
ynfG	b1589
ynfH	b1590
dmsD	b1591
clcB	b1592
ynfK	b1593
ynfL	b1595
cusR	b0571
rutG	b1006
rutF	b1007
rutE	b1008
rutD	b1009
rutC	b1010
rutB	b1011
rutA	b1012
efeU'	b4490
efeO	b1018
pgaD	b1021
pgaC	b1022
pgaB	b1023
pgaA	b1024
ycdT	b1025
ycdU	b1029
ghrA	b1033
ycdX	b1034
ycdY	b1035
ycdZ	b1036
ymdA	b1044
ymdB	b1045
clsC	b1046
opgC	b1047
cspI	b1552
mdtH	b1065
yceM	b1068
murJ	b1069
sfmA	b0530
sfmC	b0531
sfmD	b0532
sfmH	b0533
iraM	b1160
bluR	b1162
bluF	b1163
ycgG	b1168
ycgH'	b4491
ycgI'	b4521
ycgJ	b1177
pliG	b1178
ycgL	b1179
ycgM	b1180
ycgN	b1181
cvrA	b1191
emtA	b1193
ldcA	b1192
ycgR	b1194
dhaL	b1199
dhaK	b1200
dhaR	b1201
ycgV	b1202
yciS	b1279
yciT	b1284
mpaA	b1326
puuP	b1296
puuA	b1297
puuD	b1298
ycjM	b1309
ycjN	b1310
ycjO	b1311
ycjP	b1312
ycjQ	b1313
ycjR	b1314
ycjS	b1315
ycjT	b1316
ycjU	b1317
ycjV'	b4524
ycjW	b1320
ycjX	b1321
ycjY	b1327
pgrR	b1328
ynaI	b1330
ydgD	b1598
mdtI	b1599
mdtJ	b1600
tqsA	b1601
ydgH	b1604
ydgI	b1605
ydgJ	b1624
ydgK	b1626
rsxA	b1627
rsxB	b1628
rsxC	b1629
rsxD	b1630
rsxG	b1631
rsxE	b1632
dtpA	b1634
pdxY	b1636
anmK	b1640
ydhI	b1643
ydhJ	b1644
ydhK	b1645
ydhL	b1648
nemR	b1649
yobD	b1820
mepH	b1655
ydhP	b1657
ydhQ	b1664
ydhR	b1667
ydhS	b1668
ydhT	b1669
ydhU	b1670
ydhV	b1673
ydhW	b1672
ydhX	b1671
ydhY	b1674
ydhZ	b1675
sufE	b1679
sufS	b1680
sufD	b1681
sufC	b1682
sufB	b1683
ydiH	b1685
menI	b1686
ydiJ	b1687
ydiK	b1688
ydiL	b1689
ydiM	b1690
ydiN	b1691
ydiO	b1695
ydiP	b1696
ydiQ	b1697
ydiR	b1698
ydiS	b1699
ydiT	b1700
ydiU	b1706
ydiV	b1707
arpB'	b4494
ydiY	b1722
ydiZ	b1724
yniA	b1725
yniB	b1726
yniC	b1727
ydjM	b1728
ydjN	b1729
ydjO	b1730
cedA	b1731
cho	b1741
ves	b1742
astE	b1744
astB	b1745
astD	b1746
astA	b1747
astC	b1748
ydjX	b1750
ydjY	b1751
ydjZ	b1752
ynjA	b1753
ynjB	b1754
ynjC	b1755
ynjD	b1756
ynjE	b1757
ynjF	b1758
nudG	b1759
ynjH	b1760
ynjI	b1762
mntP	b1821
flhE	b1878
yebO	b1825
ldtE	b1678
ynhF	b4602
kdgR	b1827
yebQ	b1828
msrC	b1832
yebS	b1833
yebT	b1834
rsmF	b1835
yebV	b1836
yebW	b1837
pphA	b1838
yebY	b1839
yebZ	b1840
yobA	b1841
yobB	b1843
exoX	b1844
yecN	b1869
cmoA	b1870
cmoB	b1871
flhB	b1880
yecR	b1904
yecS	b1918
dcyD	b1919
yedP	b1955
yedQ	b1956
yedR	b1963
yedS'	b4496
yedV	b1968
yedW	b1969
hiuH	b1970
yedY	b1971
yedZ	b1972
zinT	b1973
yodB	b1974
yegH	b2063
yegI	b2070
yegJ	b2071
yegK	b2072
yegL	b2073
mdtA	b2074
mdtB	b2075
mdtC	b2076
yegP	b2080
yegQ	b2081
yegR	b2085
fbaB	b2097
yegT	b2098
yegU	b2099
yegV	b2100
yegW	b2101
yegX	b2102
thiD	b2103
thiM	b2104
rcnR	b2105
rcnA	b2106
rcnB	b2107
yeiS	b2145
preT	b2146
lpxT	b2174
mepS	b2175
rtn	b2176
yfaP	b2225
yfaQ	b2226
yfaS'	b4500
yfaT	b2229
rhmA	b2245
rhmT	b2246
rhmD	b2247
rhmR	b2248
yfaY	b2249
yfaZ	b2250
arnB	b2253
arnC	b2254
arnA	b2255
arnD	b2256
arnT	b2257
arnF	b2258
yfbK	b2270
yfbL	b2271
yfbM	b2272
yfbN	b2273
yfbO	b2274
yfbP	b2275
alaA	b2290
yfbR	b2291
yfbS	b2292
yfbT	b2293
yfbU	b2294
yfbV	b2295
yfcD	b2299
yfcE	b2300
yfcF	b2301
yfcG	b2302
yfcH	b2304
yfcI	b2305
yfcJ	b2322
mnmC	b2324
yfcL	b2325
epmC	b2326
smrB	b2331
yfcO	b2332
yfcP	b2333
yfcQ	b2334
yfcR	b2335
yfcS	b2336
yfcU'	b4661
yfcV	b2339
sixA	b2340
fadJ	b2341
fadI	b2342
yfcZ	b2343
yfdF	b2345
gtrA	b2350
gtrB	b2351
gtrS	b2352
tfaS'	b2353
yfdK	b2354
yfdL'	b2355
oweS'	b2358
yfdP	b2359
yfdQ	b2360
yfdR	b2361
yfdS	b2362
yfdT	b2363
oxc	b2373
yfdV	b2372
frc	b2374
yfdX	b2375
yfdY	b2377
ypdA	b2380
ypdB	b2381
ypdC	b2382
fryA	b2383
ypdE	b2384
ypdF	b2385
fryC	b2386
fryB	b2387
yfeO	b2389
mntH	b2392
ybfP	b0689
yfeR	b2409
yfeS	b2420
murR	b2427
murQ	b2428
murP	b2429
yfeW	b2430
yfeX	b2431
yfeY	b2432
yfeZ	b2433
ypeA	b2434
zipA	b2412
eutK	b2438
eutL	b2439
intZ	b2442
yffL	b2443
yffM	b2444
yffN	b2445
yffO	b2446
yffP	b2447
yffQ	b2448
yffR	b2449
yffS	b2450
eutA	b2451
eutH	b2452
eutG	b2453
eutJ	b2454
eutE	b2455
eutN	b2456
eutM	b2457
eutD	b2458
eutT	b2459
eutQ	b2460
eutP	b2461
eutS	b2462
maeB	b2463
ypfG	b2466
ypfH	b2473
tmcA	b2474
ypfJ	b2475
alaC	b2379
bepA	b2494
yfgD	b2495
hda	b2496
yfgF	b2503
yfgG	b2504
yfgH	b2505
yfgI	b2506
yfgJ	b2510
der	b2511
bamB	b2512
yfgM	b2513
pbpC	b2519
hyfC	b2483
hyfD	b2484
hyfE	b2485
hyfF	b2486
hyfG	b2487
hyfH	b2488
hyfI	b2489
hyfJ	b2490
hyfR	b2491
focB	b2492
yfgO	b2493
bamD	b2595
yfiP	b2583
pka	b2584
yfiR	b2603
ypjD	b2611
yqiG'	b3046
yqiH	b3047
yqiI	b3048
yqiJ	b3050
yqiK	b3051
cusC	b0572
cusF	b0573
cusB	b0574
yaiX'	b4579
ylaB	b0457
ylaC	b0458
maa	b0459
mscK	b0465
clpS	b0881
cspG	b0990
ycgX	b1161
xisE	b1141
ymfI	b1143
ymfJ	b1144
cohE	b1145
ymfL	b1147
ymfM	b1148
aaaE'	b4693
beeE'	b1151
jayE'	b1152
ymfQ	b1153
yciU	b1248
yciV	b1266
yncI'	b1459
intG'	b1936
rbn	b2268
elaD	b2269
yciW	b1287
folX	b2303
cbl	b1987
nac	b1988
flgB	b1073
flgC	b1074
flgD	b1075
flgE	b1076
flgF	b1077
flgG	b1078
flgJ	b1081
flhA	b1879
mhpD	b0350
ycgY	b1196
mlaA	b2346
afuB'	b0263
rclB	b0303
yaiY	b0379
yaiZ	b0380
cspH	b0989
ykiA'	b0392
ykfF	b0249
ypjF	b2646
ylbG'	b0502
ninE	b0548
ycaR	b0917
ycgZ	b1164
ymgA	b1165
ariR	b1166
ymgC	b1167
ymgD	b1171
ychQ	b1213
ynaJ	b1332
ymjA	b1295
ynaK	b1365
ynbE	b1382
paaB	b1389
yncJ	b1436
bdm	b1481
hokE	b4415
cnu	b1625
yoaF	b1793
yoaG	b1796
yoaH	b1811
yodC	b1957
yoeA'	b4582
yegZ'	b2083
pinH'	b2648
yqaE	b2666
yqjK	b3100
lomR'	b4570
yecT	b1877
tfaX'	b0563
ysaA	b3573
wecF	b4481
ysgA	b3830
tatB	b3838
ykgJ	b0288
ecpR	b0294
ykgL	b0295
ykgM	b0296
rhsH'	b0499
acrZ	b0762
cydX	b4515
ypjJ	b4548
ykfG	b0247
ykfH	b4504
ykfI	b0245
yceO	b1058
bssS	b1060
ymfR	b1150
tfaP	b1155
ymgE	b1195
yifN'	b3777
yaaW	b0011
ymgF	b4520
ghoT	b4559
sgcB	b4565
arnE	b4544
ecnB	b4411
aaaD'	b4634
yibS'	b4650
ylbI'	b4632
yjbS	b4621
yciX	b4523
yrdE'	b4646
ybdZ	b4511
ylcG	b4509
ylcH	b4588
yoeB	b4539
ymdE'	b1028
ymdF	b4518
insP'	b4578
yneL'	b1506
yoeD'	b4642
thiS	b4407
yheV	b4551
ypeB	b4546
yegS	b2086
ykfJ'	b0235
yrhC'	b4552
ecnA	b4410
srlE	b2703
mdlB	b0449
yeiW	b4502
ypdI	b2376
ykfK'	b4628
ykfL'	b4627
ypjK	b2635
rzoD	b4510
rzoR	b4528
yobF	b1824
mgrB	b1826
yaaX	b0005
ypeC	b2390
yaaY	b0024
yodD	b1953
ynfN	b1551
blr	b4409
yciY	b4595
yncL	b4598
yneM	b4599
ypfM	b4606
yibT	b4554
ytjA	b4568
ypfN	b4547
ysaB	b4553
ytcA	b4622
tisB	b4618
ldrA	b4419
ldrB	b4421
ldrC	b4423
ldrD	b4453
yjdP	b4487
yjhV'	b4286
torI	b4501
yceQ	b1085
croE	b1146
ymgG	b1172
yoaI	b1788
insX'	b4505
ybfQ'	b4514
ymjC'	b4525
hicA	b4532
ynfO	b4533
yniD	b4535
yobH	b4536
yoeF'	b4538
yohO	b4542
ypaA'	b4543
ypdJ'	b4545
yicS	b4555
yjhX	b4566
dinQ	b4613
ykgO	b4506
ykgP'	b4630
yzgL'	b3427
ttcC'	b4638
mokA'	b4647
yibU'	b4652
yibV'	b4615
yibW'	b4651
yoeG'	b4640
yoeH'	b4641
yjhY'	b4656
ykgQ'	b4631
ylcI	b4589
yjhZ'	b4657
yicT'	b4653
ymgI	b4593
ymgJ	b4594
ykfM	b4586
yjdQ'	b4654
ykfN'	b4626
ysaC'	b4648
ysaD'	b4649
yjbT	b4620
yciZ	b4596
ydgU	b4601
ymiA	b4522
ythA	b4655
uof	b4637
safA	b1500
sgrT	b4662
azuC	b4663
ibsD	b4664
ibsC	b4665
ibsE	b4666
ibsA	b4667
ibsB	b4668
ilvX	b4669
yjeV	b4670
ykgR	b4671
ymiB	b4672
ymjD'	b4673
ynbG	b4674
yoaJ	b4675
yoaK	b4676
yobI	b4677
yoeI	b4678
yohP	b4679
ypdK	b4680
yqcG	b4682
yqeL	b4683
yqfG	b4684
yrbN	b4685
yshB	b4686
ykgS'	b4688
rzoQ	b4689
shoB	b4687
oweE'	b4692
ykgT'	b4695
yrdF'	b4697
mgtL	b4702
pmrR	b4703
mntS	b4705
iroK	b4706
oriC	b4489
dctA	b3528
dgoD	b4478
glcB	b2976
gpsA	b3608
hpt	b0125
kefB	b3350
nanT	b3224
nfsB	b0578
pta	b2297
shiA	b1981
thiL	b0417
uxuB	b4323
uxuR	b4324
xapA	b2407
xylF	b3566
xylR	b3569
sapA	b1294
sapB	b1293
sapC	b1292
nrdE	b2675
mokB	b1420
flgA	b1072
flgH	b1079
flgI	b1080
fliI	b1941
fliJ	b1942
fliK	b1943
mhpA	b0347
mhpB	b0348
mhpC	b0349
mhpR	b0346
rusA	b0550
alaT	b3853
alaU	b3276
alaV	b0203
alaW	b2397
alaX	b2396
argQ	b2691
argU	b0536
argV	b2694
argW	b2348
argX	b3796
argY	b2693
argZ	b2692
asnT	b1977
asnU	b1986
asnV	b1989
aspT	b3760
aspU	b0206
aspV	b0216
cysT	b1910
ffs	b0455
glnU	b0670
glnV	b0665
glnW	b0668
glnX	b0664
gltT	b3969
gltU	b3757
gltV	b4008
gltW	b2590
glyT	b3978
glyU	b2864
glyV	b4163
glyW	b1911
glyX	b4164
glyY	b4165
hisR	b3797
ileT	b3852
ileU	b3277
ileV	b0202
ileX	b3069
leuP	b4369
leuQ	b4370
leuT	b3798
leuU	b3174
leuV	b4368
leuW	b0672
leuX	b4270
leuZ	b1909
lysT	b0743
lysV	b2404
lysW	b0745
metT	b0673
metU	b0666
metV	b2816
metY	b3171
metZ	b2814
micF	b4439
pheU	b4134
pheV	b2967
proK	b3545
proL	b2189
proM	b3799
rnpB	b3123
rrfA	b3855
rrfB	b3971
rrfC	b3759
rrfD	b3274
rrfE	b4010
rrfG	b2588
rrfH	b0205
rrlA	b3854
rrlB	b3970
rrlC	b3758
rrlD	b3275
rrlE	b4009
rrlG	b2589
rrlH	b0204
rrsA	b3851
rrsB	b3968
rrsC	b3756
rrsD	b3278
rrsE	b4007
rrsG	b2591
rrsH	b0201
rrfF	b3272
selC	b3658
serT	b0971
serU	b1975
serV	b2695
serW	b0883
serX	b1032
spf	b3864
ssrS	b2911
ssrA	b2621
thrT	b3979
thrU	b3976
thrV	b3273
thrW	b0244
trpT	b3761
tyrT	b1231
tyrU	b3977
tyrV	b1230
valT	b0744
valU	b2401
valV	b1665
valW	b1666
valX	b2402
valY	b2403
dicF	b1574
oxyS	b4458
metW	b2815
dsrA	b1954
csrB	b4408
asnW	b1984
ileY	b2652
lysQ	b0749
lysY	b0747
lysZ	b0748
valZ	b0746
sokB	b4429
sokC	b4413
gcvB	b4443
rprA	b4431
rttR	b4425
ryhB	b4451
csrC	b4457
tff	b4414
rybB	b4417
psrD	b4418
rdlA	b4420
rdlB	b4422
rdlC	b4424
rdlD	b4454
mcaS	b4426
micC	b4427
rydB	b4430
ryeA	b4432
sdsR	b4433
sgrS	b4577
isrC	b4435
sibA	b4436
sibB	b4437
cyaR	b4438
ryfA	b4440
glmY	b4441
micA	b4442
omrA	b4444
omrB	b4445
sibC	b4446
sibD	b4447
psrO	b4449
arcZ	b4450
gadY	b4452
glmZ	b4456
ryjA	b4459
istR	b4616
rydC	b4597
sibE	b4611
rseX	b4603
ptwF'	b4629
pauD'	b4635
pawZ'	b4643
psaA'	b4645
chiX	b4585
sokA'	b4614
ohsC	b4608
ryfD	b4609
symR	b4625
ryjB	b4624
sroH	b4691
eyeA	b4690
mgrR	b4698
fnrS	b4699
sokE	b4700
sokX	b4701
arrS	b4704
agrA	b4712
agrB	b4713
esrE	b4707
ralA	b4714
insA1	b0022
insB1	b0021
insC1	b0360
insD1	b0361
insE1	b0298
insF1	b0299
insG	b4278
insH1	b0259
insI1	b0256
insJ	b3557
insK	b3558
insL1	b0016
insM'	b4561
insN'	b4587
insO'	b4623
rplU	b3186
rpmA	b3185
acpP	b1094
rmf	b0953
eutB	b2441
eutC	b2440
cybC'	b4236
gadA	b3517
frmA	b0356
folP	b3177
insB2	b0264
insA2	b0265
insB3	b0274
insA3	b0275
insF2	b0372
insE2	b0373
insE3	b0540
insF3	b0541
insH2	b0552
insL2	b0582
insH4	b0656
insA4	b4516
insB4	b0988
insF4	b1026
insE4	b1027
insH6	b1331
insH25	b1370
insD4	b1402
insC4	b1403
insI3	b1404
insB8	b1893
insA8	b1894
insH8	b1994
insD6	b1996
insC6	b1997
insH9	b2030
insE5	b2088
insF5	b2089
insH11	b2192
insL3	b2394
insD8	b2860
insC8	b2861
insH15	b2982
insC9	b3044
insD9	b3045
insH18	b3218
insA5	b3444
insB5	b3445
insH20	b3505
insC11	b4272
insD11	b4273
insI4	b4284
insA6	b4294
insB6'	b4576
insI2'	b4708
insD5'	b1578
insA9	b4709
insB9	b4710
insH21	b4711
