,bigg.reaction,EC_number
598,agpat161,2.3.1.51
599,agpat180,2.3.1.51
600,agpat181,2.3.1.51
601,agpr,1.2.1.38
603,ahcysns,3.2.2.9
604,aicart,2.1.2.3
610,alaalad,3.4.17.14
612,alaalar,6.3.2.4
615,alar,5.1.1.1
617,alata_l,2.6.1.2
619,alatrs,6.1.1.7
625,alcd19,1.1.1.1
626,alcd2x,1.1.1.1
627,aldd19xr,1.2.1.39
628,aldd2x,1.2.1.3
629,aldd2y,1.2.1.4
634,alltamh,3.5.3.9
635,alltn,3.5.2.5
645,altrh,4.2.1.7
649,amalt1,2.4.1.25
650,amalt2,2.4.1.25
651,amalt3,2.4.1.25
652,amalt4,2.4.1.25
654,amank,2.7.1.60
655,amaotr,2.6.1.62
658,ampn,3.2.2.4
659,amptasecg,3.4.11.2
660,amptasepg,3.4.11.2
664,anprt,2.4.2.18
665,ans,4.1.3.27
667,aoxsr2,2.3.1.47
668,ap4ah,3.6.1.41
671,apcs,2.5.1.16
679,aph120,3.6.1.7
680,aph140,3.6.1.7
681,aph141,3.6.1.7
682,aph160,3.6.1.7
683,aph161,3.6.1.7
684,aph180,3.6.1.7
685,aph181,3.6.1.7
686,appldhr,1.1.1.75
687,apraur,1.1.1.193
688,arai,5.3.1.4
704,argdc,4.1.1.19
705,argdcpp,4.1.1.19
707,argsl,4.3.2.1
708,argss,6.3.4.5
709,argtrs,6.1.1.19
713,asad,1.2.1.11
717,asnn,3.5.1.1
718,asnnpp,3.5.1.1
719,asns1,6.3.5.4
720,asns2,6.3.1.1
721,asntrs,6.1.1.22
727,asp1dc,4.1.1.11
728,aspct,2.1.3.2
729,aspk,2.7.2.4
734,aspt,4.3.1.1
735,aspta,2.6.1.1
736,asptrs,6.1.1.12
744,ast,2.3.1.109
748,atpprt,2.4.2.17
749,atps4rpp,3.6.3.14
752,betaldhx,1.2.1.8
753,betaldhy,1.2.1.8
757,bpnt,3.1.3.7
762,bts5,2.8.1.6
763,butct,2.8.3.8
774,cat,1.11.1.6
776,cbiat,2.5.1.17
781,cblat,2.5.1.17
783,cbmkr,2.7.2.2
784,cbps,6.3.5.5
790,cdappa120,3.6.1.26
791,cdappa140,3.6.1.26
792,cdappa141,3.6.1.26
793,cdappa160,3.6.1.26
794,cdappa161,3.6.1.26
795,cdappa180,3.6.1.26
796,cdappa181,3.6.1.26
800,cfas160e,2.1.1.79
801,cfas160g,2.1.1.79
802,cfas180e,2.1.1.79
803,cfas180g,2.1.1.79
809,chold,1.1.99.1
810,chorm,5.4.99.5
811,chors,4.2.3.5
816,citl,4.1.3.6
837,cmpn,3.2.2.10
861,cpppgo,1.3.3.3
878,csnd,3.5.4.1
884,ctecoai6,5.3.3.8
885,ctecoai7,5.3.3.8
886,ctecoai8,5.3.3.8
887,ctps2,6.3.4.2
895,cyanst,2.8.1.1
896,cyanstpp,2.8.1.1
901,cysdds,4.4.1.15
