,bigg.reaction,bigg.metabolite,Value
296,ntd12,atp_c,-2
297,ntd12,datp_c,-1
298,ntd12pp,adp_c,-1
299,ntd12pp,amp_c,-2
300,ntd12pp,atp_c,-2
301,ntd12pp,datp_c,-1
302,ntd1pp,adp_c,-1
303,ntd1pp,amp_c,-2
304,ntd1pp,atp_c,-2
305,ntd1pp,datp_c,-1
306,ntd2,adp_c,-1
307,ntd2,amp_c,-2
308,ntd2,atp_c,-2
309,ntd2,datp_c,-1
310,ntd2pp,adp_c,-1
311,ntd2pp,amp_c,-2
312,ntd2pp,atp_c,-2
313,ntd2pp,datp_c,-1
314,ntd3,adp_c,-1
315,ntd3,amp_c,-2
316,ntd3,atp_c,-2
317,ntd3,datp_c,-1
318,ntd3pp,adp_c,-1
319,ntd3pp,amp_c,-2
320,ntd3pp,atp_c,-2
321,ntd3pp,datp_c,-1
322,ntd4,adp_c,-1
323,ntd4,amp_c,-2
324,ntd4,atp_c,-2
325,ntd4,datp_c,-1
326,ntd4pp,adp_c,-1
327,ntd4pp,amp_c,-2
328,ntd4pp,atp_c,-2
329,ntd4pp,datp_c,-1
330,ntd5,adp_c,-1
331,ntd5,amp_c,-2
332,ntd5,atp_c,-2
333,ntd5,datp_c,-1
334,ntd5pp,adp_c,-1
335,ntd5pp,amp_c,-2
336,ntd5pp,atp_c,-2
337,ntd5pp,datp_c,-1
338,ntd6,adp_c,-1
339,ntd6,amp_c,-2
340,ntd6,atp_c,-2
341,ntd6,datp_c,-1
342,ntd6pp,adp_c,-1
343,ntd6pp,amp_c,-2
344,ntd6pp,atp_c,-2
345,ntd6pp,datp_c,-1
346,ntd7,adp_c,-1
347,ntd7,amp_c,-2
348,ntd7,atp_c,-2
349,ntd7,datp_c,-1
350,ntd7pp,adp_c,-1
351,ntd7pp,amp_c,-2
352,ntd7pp,atp_c,-2
353,ntd7pp,datp_c,-1
354,ntd8,adp_c,-1
355,ntd8,amp_c,-2
356,ntd8,atp_c,-2
357,ntd8,datp_c,-1
358,ntd8pp,adp_c,-1
359,ntd8pp,amp_c,-2
