"","kingdom","phylum","class","order","family","genus","species","RevisedName"
"Lactobacillus dextrinicus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus dextrinicus","Lactobacillus dextrinicus"
"Lactobacillus fermentum","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum","Lactobacillus fermentum"
"Lactobacillus helveticus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus helveticus","Lactobacillus helveticus"
"Lactobacillus mesenteroides","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,"Lactobacillus"
"Lactobacillus plantarum","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus plantarum","Lactobacillus plantarum"
"Lactobacillus salivarius","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus salivarius","Lactobacillus salivarius"
"Lactobacillus vermiforme",NA,NA,NA,NA,NA,NA,NA,NA
"Lactococcus raffinolactis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus raffinolactis","Lactococcus raffinolactis"
"Mycoplasma sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Pediococcus acidilactici","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus acidilactici","Pediococcus acidilactici"
"Pediococcus damnosus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus damnosus","Pediococcus damnosus"
"Pediococcus inopinatus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus inopinatus","Pediococcus inopinatus"
"Pediococcus pentosaceus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus pentosaceus","Pediococcus pentosaceus"
"Rothia dentocariosa","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Selenomonas ruminantium","Bacteria","Firmicutes",NA,NA,NA,NA,NA,NA
"Staphylococcus aureus","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Streptococcus acidominimus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Streptococcus agalactiae","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Streptococcus equinus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Streptococcus milleri",NA,NA,NA,NA,NA,NA,NA,NA
"Streptococcus mitior",NA,NA,NA,NA,NA,NA,NA,NA
"Streptococcus mutans","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Streptococcus salivarius","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Streptococcus sanguinis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Streptococcus thermophilus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Streptococcus uberis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Tetragenococcus halophilus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",NA,NA,NA
"Weissella confusa","Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,NA,NA
"Weissella viridescens","Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,NA,NA
"Lactococcus lactis subsp. cremoris",NA,NA,NA,NA,NA,NA,NA,NA
"Staphylococcus epidermidis","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Cupriavidus necator","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Lactobacillus curvatus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,NA
"Bifidobacterium longum","Bacteria","Actinobacteria",NA,"Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,NA
"Champsocephalus gunnari","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Deinococcus radiodurans","Bacteria","Deinococcus-Thermus","Deinococci",NA,NA,NA,NA,NA
"Rhizopus delemar",NA,NA,NA,NA,NA,NA,NA,NA
"Rhizopus oryzae NRRL 395",NA,NA,NA,NA,NA,NA,NA,NA
"Pythium debaryanum","Fungi",NA,NA,NA,NA,NA,NA,NA
"Pythium undulatum",NA,NA,NA,NA,NA,NA,NA,NA
"Sapromyces elongatus",NA,NA,NA,NA,NA,NA,NA,NA
"Zoogloea ramigera I-16-M",NA,NA,NA,NA,NA,NA,NA,NA
"Acidovorax sp.","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Ralstonia pickettii","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Staphylococcus xylosus","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Paracoccus denitrificans","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA
"Rhodobacter sphaeroides","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA
"Paucimonas lemoignei","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Mycobacterium phlei","Bacteria","Actinobacteria",NA,"Actinomycetales","Mycobacteriaceae","Mycobacterium",NA,NA
"Bacillus cereus","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,NA
"Camelus dromedarius","Animalia","Chordata","Mammalia","Artiodactyla",NA,NA,NA,NA
"Hevea brasiliensis","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Ipomoea batatas","Plantae",NA,"Magnoliopsida","Solanales",NA,NA,NA,NA
"Hortaea werneckii",NA,NA,NA,NA,NA,NA,NA,NA
"Catharanthus roseus","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Arabidopsis thaliana","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Methylobacterium extorquens","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,NA
"Corynebacterium glutamicum","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Anthocidaris crassispina","Animalia",NA,NA,NA,NA,NA,NA,NA
"Comamonas testosteroni","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Malassezia pachydermatis",NA,NA,NA,NA,NA,NA,NA,NA
"Streptomyces coelicolor",NA,NA,NA,NA,NA,NA,NA,NA
"Streptomyces aureofaciens","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Escherichia coli W",NA,NA,NA,NA,NA,NA,NA,NA
"Citrobacter freundii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA
"Erwinia aroidea",NA,NA,NA,NA,NA,NA,NA,NA
"Escherichia coli B",NA,NA,NA,NA,NA,NA,NA,NA
"Escherichia coli K-12",NA,NA,NA,NA,NA,NA,NA,NA
"Proteus vulgaris","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA
"Urochloa panicoides","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Atriplex spongiosa","Plantae",NA,"Magnoliopsida","Caryophyllales","Amaranthaceae",NA,NA,NA
"Ascaris suum",NA,NA,NA,NA,NA,NA,NA,NA
