,bigg.metabolite,kegg.compound
359,dgtp_c,C00286
360,dha_c,C00184
361,dhap_c,C00111
362,dhcinnm_c,C12623
363,dhf_c,C00415
364,dhna_c,C03657
365,dhnpt_c,C04874
366,dhor__S_c,C00337
367,dhpmp_c,C05925
368,dhpppn_c,C04044
369,dhpt_c,C00921
370,dhptd_c,C11838
371,didp_c,C01344
372,dimp_c,C06196
373,din_c,C05512
374,ditp_c,C01345
375,dmbzid_c,C03114
376,dmlz_c,C04332
377,dmpp_c,C00235
378,dms_c,C00580
379,dmso_c,C11143
380,dnad_c,C00857
381,dpcoa_c,C00882
382,dscl_c,C02463
383,dtbt_c,C01909
384,dtdp_c,C00363
385,dtdp4aaddg_c,C06018
386,dtdp4aaddg_c,C20415
387,dtdp4addg_c,C04268
388,dtdp4d6dg_c,C00687
389,dtdp4d6dg_c,C11907
390,dtdp4d6dm_c,C00688
391,dtdpglu_c,C00842
392,dtdprmn_c,C03187
393,dtdprmn_c,C03319
394,dtdprmn_c,C07277
395,dtdprmn_c,C11912
396,dtmp_c,C00364
397,dttp_c,C00459
398,dudp_c,C01346
399,dump_c,C00365
400,duri_c,C00526
401,dutp_c,C00460
402,dxyl_c,C06257
403,dxyl5p_c,C11437
404,e4p_c,C00279
405,e4p_c,C03109
406,eig3p_c,C04666
407,enter_c,C05821
408,enter_c,C06230
409,etha_c,C00189
410,etoh_c,C00469
411,f1p_c,C01094
412,f1p_c,C02976
413,f6p_c,C00085
414,f6p_c,C05345
415,fad_c,C00016
416,fadh2_c,C01352
417,fald_c,C00067
418,fc1p_c,C01099
419,fdp_c,C00354
420,fdp_c,C05378
421,fe2_c,C00023
422,fe2_c,C14818
423,fe3_c,C14819
424,fe3hox_c,C06227
425,fecrm_c,C06228
426,feenter_c,C06230
427,feoxam_c,C07597
428,fgam_c,C04376
429,fmettrna_c,C03294
430,fmn_c,C00061
431,fmnh2_c,C01847
432,for_c,C00058
433,forcoa_c,C00798
434,fpram_c,C04640
435,fprica_c,C04734
436,frdp_c,C00448
437,fru_c,C00095
438,fru_c,C02336
439,frulys_c,C16488
440,frulysp_c,C16489
441,fruur_c,C00905
442,fuc__L_c,C01019
443,fum_c,C00122
444,g1p_c,C00103
445,g3p_c,C00118
446,g3p_c,C00661
447,g3pc_c,C00670
448,g3pe_c,C00350
449,g3pe_c,C01233
450,g3pg_c,C03274
451,g3pi_c,C01225
452,g6p_c,C00092
453,g6p_c,C01172
454,gal_c,C00124
455,gal1p_c,C00446
456,gal1p_c,C03384
457,galct__D_c,C00879
458,galctn__D_c,C00880
459,galt1p_c,C06311
460,galur_c,C00333
461,galur_c,C08348
462,gam1p_c,C06156
463,gam6p_c,C00352
464,gar_c,C03838
465,gbbtn_c,C01181
466,gcald_c,C00266
467,gdp_c,C00035
468,gdpddman_c,C01222
469,gdpfuc_c,C00325
470,gdpmann_c,C00096
471,gdptp_c,C04494
472,gg4abut_c,C15767
473,ggbutal_c,C15700
474,ggptrc_c,C15699
475,glc__D_c,C00031
476,glcn_c,C00257
477,glcr_c,C00818
478,glcur_c,C00191
479,gln__L_c,C00064
480,glntrna_c,C02282
481,glu__D_c,C00217
482,glu__L_c,C00025
483,glu1sa_c,C03741
484,glu5p_c,C03287
485,glu5sa_c,C01165
486,glucys_c,C00669
487,glutrna_c,C02987
488,glutrna_c,C06112
489,glx_c,C00048
490,gly_c,C00037
491,glyald_c,C00577
492,glyb_c,C00719
493,glyc_c,C00116
494,glyc__R_c,C00258
495,glyc2p_c,C02979
496,glyc3p_c,C00093
497,glyc3p_c,C00344
498,glyclt_c,C00160
499,glycogen_c,C00182
500,glytrna_c,C02412
501,gmhep17bp_c,C11472
502,gmhep1p_c,C07838
503,gmhep7p_c,C07836
504,gmp_c,C00144
505,gp4g_c,C01261
506,grdp_c,C00341
507,gsn_c,C00387
508,gthox_c,C00127
509,gthrd_c,C00051
510,gtp_c,C00044
511,gtspmd_c,C05730
512,gua_c,C00242
513,h_c,C00080
514,h2_c,C00282
515,h2mb4p_c,C11811
516,h2o_c,C00001
517,h2o_c,C01328
518,h2o_c,C18712
519,h2o_c,C18714
520,h2o2_c,C00027
521,h2o2_c,C17732
522,h2o2_c,C18566
523,h2s_c,C00283
524,h2s_c,C00297
525,h2s_c,C20391
526,hco3_c,C00288
527,hcys__L_c,C00155
528,hdca_c,C00249
529,hdcea_c,C08362
530,hdcoa_c,C05272
531,hdd2coa_c,C05272
532,hemeO_c,C15672
533,hexACP_c,C05749
534,hg2_c,C00703
535,hg2_c,C13377
536,hg2_c,C18670
537,his__L_c,C00135
538,hisp_c,C01100
539,histd_c,C00860
540,histrna_c,C02988
541,hkndd_c,C04479
542,hkntd_c,C12624
543,hmbil_c,C01024
544,hmgth_c,C14180
545,hom__L_c,C00263
546,hpyr_c,C00168
547,hqn_c,C00530
548,hx2coa_c,C05271
549,hxa_c,C01585
550,hxan_c,C00262
551,hxcoa_c,C05270
552,iasp_c,C05840
553,ichor_c,C00885
554,icit_c,C00311
555,idon__L_c,C00770
556,idp_c,C00104
557,ile__L_c,C00407
558,iletrna_c,C03127
559,imacp_c,C01267
560,imp_c,C00130
561,indole_c,C00463
562,inost_c,C00137
563,inost_c,C06151
564,ins_c,C00294
565,ipdp_c,C00129
566,isetac_c,C05123
567,itp_c,C00081
568,k_c,C00238
569,k_c,C08219
570,k_c,C12568
571,kdo_c,C01187
572,kdo2lipid4_c,C06025
573,kdo2lipid4L_c,C06251
574,kdo8p_c,C04478
575,kdolipid4_c,C06024
576,lac__D_c,C00256
