,NumRef,Refs
ump-->udpg4e,2,2320;650515
ser__l-->uamas,2,1286;1289
cyan-->admdc,2,4680;4681
fe2-->cytd,2,209644;209660
atp-->rbk,2,641005;673692
ile__l-->achbs,2,395884;395900
nadp-->g3pd2,2,669175;669177
gam6p-->gf6pta,2,672444;689045
hg2-->acnml,2,33314;33337
amet-->metat,2,639045;639056
dhpt-->dhnpa2r,2,5103;5104
ppi-->metat,2,639045;639056
pppi-->metat,2,639045;639056
adp-->glyk,2,641287;641294
atp-->mthfd,2,392307;392308
dgtp-->gtpci,2,209546;209549
pyr-->serd_l,2,210823;210847
adpglc-->agmhe,2,2357;653940
succ-->dhqti,2,5473;5474
2pglyc-->mgsa,2,649962;650248
atp-->kabcpp,2,289111;289116
oaa-->pps,2,645472;645473
amet-->mets,2,441179;659993
udpgal-->uglt,2,642838;722427
trp__l-->anprt,2,638663;638674
cu2-->a5piso,2,652445;671856
amp-->gluprt,2,489747;489763
gam6p-->agdc,2,246592;246594
dctp-->durik1,2,641123;641132
cu2-->lcadi,2,288133;288135
amp-->glns,2,37497;661216
aso3-->ntrir2x,2,392923;392929
ac-->dhqti,2,5473;5474
his__l-->csnd,2,209489;209497
atp-->tagurr,2,287138;287140
gdpfuc-->gmand,2,5732;5733
ca2-->trdr,2,394908;394952
actp-->tmppp,2,639722;639723
akg-->cs,2,488040;488060
ala__l-->serd_d,2,210805;651969
pydx5p-->adncyc,2,34790;34813
pep-->mgsa,2,137600;137601
ctp-->glns,2,37497;661216
dttp-->durik1,2,641117;641123
akg-->pps,2,645472;645473
mg2-->lcadi,2,670833;695015
nadp-->glusy,2,391438;391442
btn-->accoac,2,665523;665526
hg2-->kdopp,2,646344;652389
adp-->kabcpp,2,289111;289114
agm-->argdc,2,4085;4086
pi-->pgpp120,2,94810;94818
hg2-->kdops,2,637395;637397
cys__l-->uglt,2,642823;642834
pyr-->mals,2,660456;706621
acglu-->acgs,2,486061;486063
pnto__r-->mohmt,2,485700;485701
ahcys-->obtfl,2,487219;487221
ametam-->admdc,2,4668;4672
cys__l-->uamas,2,1286;1288
glcn-->pants,2,977;978
ag-->lacz,2,171273;679236
fald-->mohmt,2,485700;485701
utp-->gtpci,2,209541;209546
pphn-->chorm,2,3574;390552
glu__l-->glusy,2,391438;391442
nadp-->uapgr,2,286065;722831
gal-->lacz,2,706614;706624
4hthr-->4hthrs,2,137551;137559
cobalt2-->taudo,2,285263;671717
ctp-->dasyn120,2,643308;643314
gtp-->adncyc,2,34764;34813
