met:EC,Glucose,Fructose,Galactose,Gluconate,Mannitol,Sorbitol,Mannose,Glycerol,Pyruvate,Lactate,Acetate,Succinate,glcNAc
ATP:2.7.1.25,0.00757002271007,0.00766871165644,0.00748502994012,0.00799360511591,0.00758725341426,0.00633312222926,0.00780031201248,0.00901713255185,0.00926784059314,0.0088573959256,0.00811688311688,0.00851788756388,0.00802568218299
ATP:2.7.1.30,0.00591446769791,0.00599170379475,0.00584795321637,0.00624599615631,0.00592795257638,0.00494672754947,0.00609470229723,0.00704734369353,0.00724368499257,0.00692225772098,0.00634249471459,0.00665642601126,0.00627110467921
ATP:2.7.1.33,0.141498071366,0.143091012999,0.14012170122,0.148295827087,0.141776596496,0.121047150838,0.145206494061,0.164308562763,0.168144325447,0.161847156344,0.150255122315,0.156569832601,0.148806459975
ATP:2.7.1.39,0.236548722341,0.238913928633,0.234500329025,0.246601169682,0.23696270284,0.205650832996,0.242045915533,0.269865401294,0.275353437832,0.266326651471,0.249478836245,0.258694066666,0.247351994433
ATP:2.7.1.49,0.0984113884877,0.0995755340617,0.0974065754544,0.103388483491,0.0986148439115,0.0835815664973,0.101123595506,0.115208115289,0.118059566042,0.113382457808,0.104827485166,0.109478999311,0.103763323907
ATP:2.7.1.56,0.182759755013,0.184717262623,0.181066677486,0.191098533713,0.183102177137,0.157438877908,0.18731362932,0.21059026802,0.215228209136,0.207607782058,0.193494865157,0.201196526228,0.191723373835
ATP:2.7.1.59,0.00848945708685,0.00860002865387,0.00839422864067,0.0089640219688,0.00850876264261,0.00710340132454,0.00874747016606,0.010110538352,0.0103913281489,0.00993162639016,0.00910212849539,0.00955133904251,0.0089999578351
ATP:2.7.1.6,0.643501217445,0.646489804845,0.640887081697,0.655987963225,0.644026605776,0.601314408535,0.650398844796,0.682867813446,0.688830974679,0.67894940201,0.659461282938,0.670295298534,0.656898442561
ATP:2.7.1.71,0.108769544528,0.110041265475,0.107671601615,0.1142041399,0.108991825613,0.0925390399075,0.111731843575,0.127084988086,0.13018714402,0.125097732604,0.115774240232,0.12084592145,0.114613180516
ATP:2.7.1.73,0.314598486933,0.31741962973,0.312150563949,0.326549063243,0.315092686026,0.277207490837,0.321146509697,0.35381352678,0.360166614896,0.349701203084,0.329951087018,0.340789082559,0.327437512476
ATP:2.7.2.11,0.359802731257,0.362814661264,0.357186372674,0.372537138662,0.360330609225,0.31954388355,0.366788126774,0.401352964001,0.408020671895,0.397027588405,0.376150668818,0.38762829218,0.373481319392
ATP:2.7.2.4,0.549760045561,0.552988587483,0.546942478552,0.563301978435,0.550327046074,0.505013072144,0.557223421355,0.592929896575,0.599592577536,0.588569766354,0.567093536763,0.578990113366,0.564294832734
ATP:2.7.2.8,0.342618951865,0.345564680639,0.340061174163,0.355082503017,0.343135131573,0.30337169947,0.349452836849,0.383373117394,0.389936687291,0.379118798147,0.358623493142,0.369883396756,0.356007545301
ATP:2.7.4.16,0.170777988615,0.1726342711,0.169172932331,0.17868960953,0.171102661597,0.146818923328,0.175097276265,0.197224251278,0.201643017177,0.194384449244,0.180965147453,0.188284518828,0.179282868526
ATP:2.7.4.25,0.0281690140845,0.0285285285285,0.0278592375367,0.0297107114934,0.0282317979198,0.0236465463597,0.0290076335878,0.0334212840809,0.0343270099368,0.0328435609334,0.0301587301587,0.0316139767055,0.0298273155416
ATP:2.7.4.3,0.0609030601577,0.0616538473194,0.0602556245443,0.0641181004591,0.0610342204544,0.0514031929245,0.0626533776353,0.0718077972453,0.0736745154654,0.0706149985009,0.0650501765045,0.0680708680528,0.0643607841534
ATP:2.7.4.7,0.128324468085,0.129791526564,0.127057274523,0.134588563459,0.128580946036,0.10953461975,0.131740614334,0.149380804954,0.1529318542,0.147103658537,0.136395759717,0.142225497421,0.135059482155
ATP:2.7.4.9,0.143187108533,0.144795857793,0.141797022528,0.1500518253,0.14346840276,0.122526910117,0.146932221767,0.166217166806,0.170088417097,0.163732770567,0.152030179611,0.15840558298,0.150567435764
ATP:2.7.6.1,0.0172413793103,0.0174639331815,0.0170496664196,0.0181962025316,0.0172802404207,0.0144472361809,0.0177606177606,0.0204991087344,0.0210622710623,0.0201401050788,0.0184738955823,0.0193765796125,0.0182684670373
ATP:2.7.6.3,0.0117884770349,0.0119414994336,0.0116566776847,0.0124451440307,0.0118151953694,0.00986915852048,0.0121455263205,0.0140305993814,0.014418671321,0.0137832855007,0.0126361995212,0.0132574908982,0.0124948594178
ATP:2.7.7.18,0.0217547706846,0.0220342777483,0.0215139704675,0.0229537064336,0.0218035790305,0.0182427636006,0.0224068345921,0.0258428723802,0.0265488622826,0.0253927088083,0.0233022807558,0.024435019215,0.023044421448
ATP:2.7.7.27,0.324118475947,0.326984261267,0.321631237833,0.336253270853,0.324620546954,0.286068249367,0.330769022219,0.363890167728,0.370320500154,0.359725923922,0.339705397023,0.350696100004,0.337154904476
ATP:2.7.7.3,0.143696930111,0.145310435931,0.142302716688,0.150581793292,0.143979057592,0.12297372834,0.14745308311,0.166793025019,0.170674941815,0.1643017177,0.152565880721,0.158959537572,0.151098901099
ATP:2.7.7.58,0.460715754833,0.46396023198,0.457890433361,0.474375264718,0.461285008237,0.416511714392,0.468227424749,0.504731861199,0.511649154865,0.500223313979,0.478223740393,0.490367775832,0.475382003396
ATP:2.7.7.63,0.00416189760749,0.00421634424076,0.00411501105373,0.00439562221946,0.0041714034255,0.00347991356836,0.00428895566497,0.00496075593982,0.00509926276139,0.00487252386586,0.00446366152498,0.00468503562161,0.00441332538656
ATP:2.7.9.2,0.0209111277072,0.0211800302572,0.0206794682422,0.0220646178093,0.0209580838323,0.017532874139,0.0215384615385,0.0248447204969,0.0255241567912,0.0244115082825,0.0224,0.0234899328859,0.0221518987342
ATP:2.7.9.3,0.442182369507,0.445404125922,0.439378103459,0.455756771777,0.442747523682,0.398442733762,0.449643811594,0.486023603187,0.492939691443,0.481519694947,0.459586270239,0.471684869937,0.456758333541
ATP:3.1.3.5,0.223424986181,0.225697763561,0.221457272401,0.233089998234,0.2238227325,0.193806150477,0.228708559606,0.25551188022,0.260812289251,0.252096361635,0.235859357709,0.24473555941,0.233812452337
ATP:3.1.4.16,0.120724346076,0.122116689281,0.119521912351,0.126671358198,0.120967741935,0.102915951973,0.123966942149,0.140734949179,0.144115292234,0.13856812933,0.128388017118,0.133928571429,0.127118644068
ATP:3.6.3.14,0.08128996115,0.0822700522941,0.0804443656546,0.0854832505716,0.0814612179892,0.0688431958783,0.0835740436854,0.0954738786853,0.0978909371855,0.0939277440536,0.0866971375204,0.0906255989767,0.0857993866562
ATP:3.6.3.16,0.10946987711,0.110748768757,0.108365724457,0.114934951523,0.10969341324,0.0931457914232,0.112448842934,0.12788632612,0.131005107156,0.125888347069,0.116513777609,0.121613399754,0.115346268811
ATP:3.6.3.19,0.10168446283,0.102882908566,0.10064996141,0.106807481446,0.101893920248,0.0864086853568,0.104476422361,0.118966119658,0.121897768353,0.11708879132,0.108288322763,0.113074006815,0.10719323566
ATP:3.6.3.27,0.0179039628437,0.0181349116018,0.0177050151863,0.0188947742905,0.0179442901119,0.0150040806077,0.0184427810788,0.0212841749043,0.0218684234605,0.0209117158107,0.0191829199775,0.0201195386817,0.0189697595047
ATP:3.6.3.31,0.213988385122,0.216191892949,0.212081083124,0.223362596934,0.21437396963,0.185321998557,0.219111765216,0.245147868986,0.250305567559,0.241825889226,0.226050449837,0.234670873898,0.22406370998
ATP:3.6.3.33,0.0464641127434,0.0470458197743,0.0459626591397,0.0489566646636,0.0465657193441,0.0391226539534,0.0478205944092,0.0549347795261,0.0563895138764,0.0540059506694,0.0496800406177,0.0520267161952,0.0491449765185
ATP:3.6.3.5,0.010539333532,0.0106763163826,0.0104213527693,0.0111272015554,0.0105632509721,0.00882157643901,0.01085896451,0.0125468901348,0.0128944608949,0.0123254022945,0.0112982557192,0.0118545534483,0.011171711635
ATP:3.6.3.54,0.276090557703,0.278706800446,0.273822562979,0.287191269385,0.276548672566,0.241662638956,0.282167042889,0.312695434647,0.31867431485,0.308832612724,0.290360046458,0.300480769231,0.28801843318
ATP:4.1.1.49,0.0437636761488,0.0443131462334,0.04329004329,0.0461183704842,0.0438596491228,0.036832412523,0.045045045045,0.0517687661777,0.0531443755536,0.0508905852417,0.0468018720749,0.0490196078431,0.0462962962963
ATP:4.6.1.1,0.210035621257,0.212209415262,0.208154220575,0.219284982626,0.210415989991,0.181776296882,0.215090260553,0.240795859318,0.245891821717,0.237514297209,0.221937789343,0.230448076164,0.219976921732
ATP:6.1.1.1,0.276090557703,0.278706800446,0.273822562979,0.287191269385,0.276548672566,0.241662638956,0.282167042889,0.312695434647,0.31867431485,0.308832612724,0.290360046458,0.300480769231,0.28801843318
ATP:6.1.1.10,0.480431419128,0.48369020937,0.477592266541,0.494139861745,0.48100330518,0.435864613526,0.487973673726,0.52449916664,0.531396698201,0.519999436605,0.497996765484,0.510151987223,0.495149032406
ATP:6.1.1.11,5.18661122078e-05,5.25474704575e-05,5.12794215681e-05,5.47915182729e-05,5.19850649966e-05,4.33378285708e-05,5.34562617721e-05,6.18706030928e-05,6.36068051798e-05,6.07648507508e-05,5.56433848198e-05,5.84158313776e-05,5.50131546161e-05
ATP:6.1.1.14,0.0213872020236,0.0216620911106,0.0211503824023,0.0225663478486,0.0214352037736,0.0179334460044,0.0220284967488,0.0254080251689,0.0261024539817,0.0249652421901,0.0229091776818,0.0240232771672,0.0226555674863
ATP:6.1.1.15,0.313971742543,0.316789862724,0.311526479751,0.325909831613,0.314465408805,0.276625172891,0.320512820513,0.353148911124,0.359496704614,0.349040139616,0.32930845225,0.340136054422,0.326797385621
ATP:6.1.1.16,0.16901135287,0.170852389276,0.167419548022,0.17685858661,0.169333353085,0.145256719279,0.173295296841,0.195248454996,0.199633961985,0.192430282707,0.179115892385,0.186377488509,0.177447079922
ATP:6.1.1.18,0.308029674028,0.310818624065,0.305610073318,0.319847166289,0.308518199059,0.27111058628,0.314503710775,0.346840254296,0.353136557779,0.342765987773,0.323212878577,0.333939849941,0.320726065331
ATP:6.1.1.19,0.499248540398,0.502511520885,0.496404430067,0.512963808364,0.499821277776,0.454463004673,0.506798055868,0.543237659209,0.550096532176,0.538759315874,0.516817529545,0.528948094126,0.513972362522
ATP:6.1.1.2,0.132362673726,0.133868808568,0.131061598952,0.138792505205,0.132625994695,0.113058224986,0.135869565217,0.153964588145,0.157604412924,0.151630022745,0.14064697609,0.146627565982,0.139275766017
ATP:6.1.1.20,0.00681818181818,0.00690713737529,0.00674157303371,0.0072,0.00683371298405,0.00570342205323,0.00702576112412,0.00812274368231,0.00834879406308,0.00797872340426,0.00731112916328,0.0076726342711,0.00722891566265
ATP:6.1.1.21,0.3660296119,0.369063617916,0.363393675635,0.378853986121,0.366561394668,0.325428197084,0.373065451344,0.407840832582,0.414541687742,0.403492663705,0.382491437859,0.394040333292,0.379804485889
ATP:6.1.1.22,0.0979817168632,0.0991413386027,0.0969808190157,0.102939562572,0.0981843807225,0.0832106671815,0.100683404581,0.11471443882,0.11755529427,0.112895606242,0.104373043338,0.109006848044,0.103312962942
ATP:6.1.1.24,0.321077162092,0.323928944619,0.318602261048,0.333154218162,0.321576763485,0.283234353586,0.327695560254,0.360674810937,0.367081113085,0.356526739505,0.336590662324,0.347533632287,0.334051724138
ATP:6.1.1.3,0.169201520913,0.171044202434,0.167608286252,0.177055702918,0.169523809524,0.145424836601,0.173489278752,0.195461200586,0.199850299401,0.192640692641,0.179314976494,0.186582809224,0.177644710579
ATP:6.1.1.4,0.167391354787,0.16921833806,0.165811763168,0.175179227997,0.167710891488,0.1438250046,0.171642718041,0.193435510912,0.197790305359,0.190637307409,0.17741971948,0.18462801671,0.175763326477
ATP:6.1.1.5,0.0195368353921,0.019788422678,0.0193201003041,0.0206161136548,0.0195807672479,0.0163768890798,0.0201237878529,0.0232180404982,0.0238540796612,0.022812528822,0.0209299497998,0.0219499594378,0.0206977860082
ATP:6.1.1.6,0.0386581266326,0.0391461187403,0.0382375391326,0.0407498244836,0.0387433568644,0.0325079872982,0.0397962299962,0.0457740326524,0.0469982440695,0.044992718363,0.0413572107215,0.0433286754453,0.0409079265615
ATP:6.1.1.7,0.063435976319,0.0642158530399,0.0627634138995,0.066775220277,0.0635722222143,0.0535635512078,0.0652540300967,0.0747581307477,0.0766952085863,0.0735202058579,0.067743126581,0.0708793886434,0.0670272407524
ATP:6.1.1.9,0.877602464756,0.87899756873,0.876375163155,0.883375622592,0.877848337691,0.856960525116,0.880809595202,0.89532336413,0.897889005636,0.893621066641,0.884955752212,0.889814464218,0.883790898834
ATP:6.2.1.20,0.186219739292,0.188205771644,0.184501845018,0.194678780013,0.186567164179,0.16051364366,0.190839694656,0.214438884918,0.219138056976,0.211416490486,0.197109067017,0.204918032787,0.1953125
ATP:6.2.1.26,0.0530877573131,0.053747714808,0.0525187566988,0.0559147965006,0.0532030401737,0.0447488584475,0.0546265328874,0.0626865671642,0.0643326039387,0.0616352201258,0.0567348514087,0.0593939393939,0.0561282932417
ATP:6.2.1.5,0.0237248014203,0.0240289978729,0.0234627182406,0.0250295303927,0.0237779222344,0.0199012301256,0.0244344388961,0.0281724448609,0.0289401846861,0.027682855028,0.0254088083282,0.0266411532814,0.0251282382503
ATP:6.3.1.1,0.170777988615,0.1726342711,0.169172932331,0.17868960953,0.171102661597,0.146818923328,0.175097276265,0.197224251278,0.201643017177,0.194384449244,0.180965147453,0.188284518828,0.179282868526
ATP:6.3.1.2,0.132362673726,0.133868808568,0.131061598952,0.138792505205,0.132625994695,0.113058224986,0.135869565217,0.153964588145,0.157604412924,0.151630022745,0.14064697609,0.146627565982,0.139275766017
