met:EC,Acetate,Fructose,Galactose,Gluconate,Glucose,Glycerol,Pyruvate,Succinate
mal__l:1.1.1.40,0.531207038768,0.536180631121,0.317781690141,0.452586968038,0.531998407971,0.383051092778,0.409268081421,0.879507429197
pyr:2.2.1.6,0.638633479804,0.304603140922,0.64864422394,0.285106318131,0.451629920372,0.542197747563,,0.67775104215
adp:2.7.1.107,0.471039407564,0.57995547528,0.440402909905,0.458933015907,0.581694971974,0.458170784569,0.496880660093,0.573597134573
f6p:1.1.1.140,0.453425712086,0.499515375804,0.335517080019,0.5039734521,0.576340717536,0.45796354614,0.538474039165,0.69705050936
s7p:2.2.1.1,0.382944588424,0.304323628648,0.399309205586,0.764303812386,0.674041478222,0.431584033195,0.630252722264,0.691786099553
pep:4.1.1.31,0.484225909052,0.616809298761,0.403222597971,0.536572178883,0.575161084755,0.54483386436,0.398194583751,0.760143913652
nadh:1.1.1.271,0.315756434401,0.905929058428,0.72668004012,0.355791962175,0.366647298083,0.599264705882,0.649292149292,0.433471933472
mal__l:1.1.1.37,0.597772277228,0.602568022012,0.379237895139,0.520233240455,0.598536201226,0.448825574493,0.476070528967,0.905421873011
glyc3p:2.3.1.15,0.57425315357,0.555934882934,0.596393639104,0.362371665795,0.387051143376,0.873716289746,0.541785699922,0.65806579612
adp:3.1.3.5,0.544441598205,0.649490306461,0.513667070033,0.532347285214,0.651115072195,0.531582916595,0.569970651083,0.643537586598
nadh:1.5.1.34,0.355980184006,0.9202244236,0.761029411765,0.398148148148,0.409474367294,0.641732283465,0.689207650273,0.478211009174
gdp:3.6.1.19,0.519824392921,0.661770390414,0.491722335173,0.567954573509,0.68671679198,0.553172475424,0.548852797113,0.66924966925
ru5p__d:5.3.1.13,0.470235228663,0.596373395722,0.563537747737,0.820117325496,0.807547797588,0.450816460231,0.417786127678,0.589956247473
pyr:2.6.1.29,0.719774574213,0.388988209735,0.72849313691,0.36694021102,0.54483386436,0.632533072024,,0.753498945523
glyc3p:2.7.8.5,0.622463426144,0.604791898234,0.643652561247,0.409920708095,0.435626102293,0.89426031788,0.591054313099,0.701715137957
nadh:1.1.1.58,0.41326291565,0.936300620475,0.802293853282,0.457397161158,0.469095162162,0.695350116981,0.738614382948,0.538709980057
pyr:2.3.1.54,0.764702553733,0.44614116586,0.7724651681,0.423096883323,0.602312818741,0.685333445604,,0.794563209539
nadh:1.1.1.6,0.434664911387,0.941332548606,0.815829395991,0.479217994422,0.490969101112,0.713593615399,0.755179247356,0.560403553223
pep:4.1.1.49,0.610080632489,0.728454527462,0.529643458219,0.658657863403,0.692899210131,0.666097473071,0.524424320081,0.840805969909
nadh:1.1.1.37,0.451931716083,0.945079679481,0.826111744584,0.496699669967,0.508460918614,0.727678571429,0.767884322679,0.57756232687
nadph:1.1.1.3,0.65034965035,0.691040164779,0.604916593503,0.724938875306,0.744318181818,0.651702786378,0.596412556054,0.67008797654
gtp:3.6.1.19,0.629917471596,0.764816556914,0.59151995425,0.683634407922,0.758856012925,0.669814435713,0.654934437543,0.762046400952
glyc3p:1.1.1.94,0.715292841649,0.699871373446,0.733502538071,0.514226231783,0.540481400438,0.927990947433,0.687732342007,0.781886165351
nadh:1.2.1.10,0.50149551346,0.954533054469,0.852854620365,0.546279491833,0.557913351017,0.765258215962,0.801429706116,0.625187406297
pyr:1.1.1.86,0.818291229602,0.527447911872,0.824691217485,0.504025764895,0.677277394748,0.751115133493,,0.842749634955
atp:2.7.1.6,0.685700754007,0.759073911699,0.633397333267,0.66230165734,0.770236656432,0.668275743745,0.709370377492,0.765445095864
amp:3.1.3.6,0.691685133443,0.774949011886,0.638703850062,0.676865596284,0.776082849346,0.684044233807,0.70693286931,0.772468714448
nadph:1.6.1.1,0.710224862113,0.746661721068,0.668607472101,0.77643207856,0.793218286406,0.711449091677,0.660705414804,0.727996814018
dhap:4.1.2.19,0.682502260102,0.852214181794,0.585075815102,0.771860839849,0.810201779296,0.850716251552,0.608611898785,0.653388200505
fum:4.2.1.2,0.753567825309,0.77985527355,0.547005819485,0.714899219234,0.735177702919,0.619007266114,0.748227029643,0.957872993698
nadph:1.2.1.21,0.718526720877,0.75428084771,0.677560336004,0.783415576143,0.799812631713,0.719729717812,0.669766318797,0.735978793141
xu5p__d:2.2.1.1,0.640933572711,0.752513534416,0.729775375781,0.894473024667,0.895260539408,0.636446262213,0.595244118391,0.756653992395
nadh:1.6.5.3,0.5582342959,0.963464586534,0.879232807249,0.601966679931,0.61318373085,0.803725597716,0.835245764678,0.676917638997
6pgc:1.1.1.44,0.72972972973,0.538002980626,0.918918918919,0.958237909201,0.873227917121,0.40914866582,0.854094759962,0.713316892725
f6p:5.3.1.9,0.733197741342,0.767778200847,0.625839741975,0.770942474656,0.818395712203,0.736761307406,0.794447825571,0.884017569903
succ:4.1.3.1,0.784993258263,0.778636551233,0.801533907427,0.752256980894,0.822085519571,0.705588822355,0.7588687265,
gtp:2.7.4.25,0.726740958968,0.83556012333,0.693501269096,0.771502017209,0.830996329452,0.760173873941,0.747832939322,0.833441769681
atp:2.7.2.4,0.763323488763,0.823246682685,0.718637094454,0.743541928962,0.832093821702,0.748624309383,0.782997387583,0.828304696155
akg:2.6.1.1,0.72863046699,0.837592588734,0.475927179567,0.824405790059,0.871594388989,0.815141253338,0.798315932608,0.908803692209
dhap:4.2.3.3,0.752923440001,0.891004608046,0.666548567926,0.827472416159,0.858184473656,0.889849031898,0.687928224575,0.727690430506
f6p:5.3.1.8,0.758531873793,0.790765797182,0.656593406593,0.793701003988,0.837433618728,0.76186696301,0.815430047988,0.897041663807
atp:6.3.2.4,0.786676418602,0.841911515617,0.7449258463,0.768254125904,0.849994642666,0.772996286868,0.804905239688,0.846534979063
atp:2.7.1.2,0.790152216659,0.84466504468,0.748864744408,0.771943070999,0.85263202637,0.776631693354,0.808156456708,0.84922240034
nadph:1.5.1.41,0.795627376426,0.823986901351,0.762168141593,0.846538187009,0.859016393443,0.796594134342,0.755681818182,0.8095659876
nadh:1.5.1.20,0.660253010516,0.975935917028,0.918009764893,0.699325747951,0.709124879793,0.86296846205,0.886320339973,0.763156791887
atp:6.1.1.19,0.797976432734,0.850840424822,0.757756421758,0.780257406707,0.858543719904,0.784822742193,0.815466156026,0.855247650728
nadh:1.1.1.140,0.667994687915,0.97673769424,0.920584498094,0.706572769953,0.716231555051,0.867021276596,0.889770723104,0.769372693727
nadh:1.5.1.41,0.667994687915,0.97673769424,0.920584498094,0.706572769953,0.716231555051,0.867021276596,0.889770723104,0.769372693727
s7p:5.3.1.28,0.733916745506,0.660351724658,0.747119977522,0.935116429962,0.901869923131,0.771405349115,0.883392500842,0.908888438955
nadph:1.2.1.70,0.811046511628,0.837702871411,0.779411764706,0.858797972484,0.870431893688,0.811957569913,0.773255813953,0.824165915239
atp:6.1.1.10,0.809844976269,0.860147594165,0.771310659709,0.792896746237,0.86744510796,0.797267717729,0.826530570832,0.864323672477
atp:2.7.7.58,0.821735531928,0.869399939364,0.784971009484,0.805592681953,0.876284104717,0.809759991847,0.837587006961,0.873340420238
g6p:5.3.1.9,0.761539771759,0.830241299867,0.96308941589,0.815473836826,0.886322114409,0.687045937186,0.821553756931,0.916817682184
atp:2.7.1.107,0.827843625588,0.874125023243,0.79201998083,0.812127438065,0.880794271215,0.816186631123,0.843255564727,0.877942953453
adp:3.1.4.16,0.824155483572,0.879034825237,0.805527123849,0.816990945868,0.879792483867,0.816531479336,0.838654891304,0.876237623762
nadh:1.3.1.9,0.715504978663,0.981303169113,0.935442220788,0.750623441397,0.759326113117,0.890710382514,0.909828674482,0.806576402321
atp:2.7.9.3,0.832437056359,0.877666067658,0.797335249737,0.817047531412,0.884172560398,0.821023847665,0.847513523292,0.881391167476
gmp:1.7.1.7,0.810844735784,0.80015132889,0.887514943367,0.852777369686,0.945442931694,0.868151932276,0.710522083613,0.918510556972
nadph:1.5.1.2,0.848024316109,0.870298313878,0.821215733015,0.887724550898,0.897260273973,0.848790322581,0.815950920245,0.859022556391
amp:2.7.6.1,0.844687610307,0.89302212497,0.810806937079,0.835473015082,0.893642736282,0.839961202716,0.853966146698,0.89166119501
gtp:3.5.4.25,0.837944256841,0.908080398264,0.814784066856,0.867803198698,0.905301190598,0.860385360058,0.852198475202,0.906792054083
nadh:1.7.1.4,0.758672699849,0.984986393919,0.94767822106,0.790026246719,0.797724399494,0.91061452514,0.926538108356,0.839034205231
atp:2.7.1.23,0.871934414292,0.907684506611,0.843551653002,0.859560452335,0.912753140368,0.862767979276,0.883952528986,0.910588657091
atp:6.1.1.21,0.872135854711,0.907835657904,0.843789739768,0.85977822627,0.912896789008,0.862981572276,0.884137577484,0.910735520948
g6p:1.1.1.49,0.828048434014,0.880592956703,0.975213731776,0.869517236911,0.921610341837,0.768002017381,0.874091424158,0.943245560872
atp:2.7.2.11,0.875109242499,0.910064480976,0.847306889003,0.862993838371,0.915014675731,0.866135161713,0.886868077167,0.91290094439
akg:1.1.1.290,0.861710037175,0.92289196584,0.678200692042,0.915936002893,0.940308087291,0.910979228487,0.901826243006,0.958552455656
succ:6.2.1.5,0.89601098124,0.892486990926,0.905044059556,0.877541023757,0.916000268799,0.849759615385,0.881336624264,
atp:2.7.2.8,0.883122112786,0.916049801097,0.856811664586,0.871670032646,0.920699260979,0.874641322007,0.894217707359,0.918714355038
cit:4.1.3.6,0.945650327796,0.874440869497,0.88981475105,0.873517786561,0.909940335472,0.839759639459,0.985875207458,0.869216936407
pep:2.5.1.19,0.884058359584,0.928944025241,0.845860706745,0.90388040555,0.916635970367,0.90673216845,0.843110996723,0.962601974346
nadph:1.8.1.7,0.893276414088,0.909624943516,0.873257287706,0.922239502333,0.929078014184,0.893842887473,0.869281045752,0.901380670611
atp:2.7.7.27,0.891446041589,0.922235152033,0.866726618935,0.880699387515,0.926569505357,0.883489559459,0.901839252976,0.924719518372
atp:6.1.1.24,0.892785501833,0.923227420194,0.868326041711,0.882153922184,0.927510814919,0.884914521189,0.90306441526,0.925682640903
atp:6.3.2.13,0.892785501833,0.923227420194,0.868326041711,0.882153922184,0.927510814919,0.884914521189,0.90306441526,0.925682640903
nadph:1.8.1.2,0.896578599704,0.912470847762,0.877093668219,0.924721049182,0.931357568997,0.897129564049,0.873220309839,0.904458918528
atp:2.7.1.73,0.895612368534,0.925318782338,0.871705143155,0.885225068923,0.929494404084,0.887922865212,0.905648905111,0.927712357207
atp:6.1.1.15,0.895883945304,0.925519501477,0.872030030286,0.885520215222,0.929684753311,0.888211950143,0.905897114178,0.927907144402
atp:6.1.1.18,0.89844233993,0.927408681537,0.875092852759,0.888301521597,0.931476104945,0.890935914792,0.908234662706,0.929740359956
adp:3.6.3.14,0.89904088844,0.932464374958,0.88726042841,0.894537017507,0.932912920971,0.894247038917,0.908054431776,0.930805424855
dhap:1.1.1.94,0.899952919021,0.960207855437,0.855084818004,0.934026699783,0.946985998067,0.959752835058,0.866792038865,0.887491727333
mal__l:4.2.1.2,0.93404081536,0.935261451701,0.853398464067,0.911756241843,0.934236348227,0.885833949508,0.896460538541,0.989156291392
adp:2.7.4.3,0.908210096889,0.938804650847,0.897377423033,0.904071626519,0.93921383223,0.903805044891,0.916481069042,0.9372909699
atp:6.1.1.1,0.911704457159,0.937152769049,0.891034302402,0.902744548832,0.940709118938,0.905074706206,0.920331421287,0.939191983071
atp:3.6.3.54,0.911704457159,0.937152769049,0.891034302402,0.902744548832,0.940709118938,0.905074706206,0.920331421287,0.939191983071
akg:1.1.1.95,0.905051950082,0.948211083398,0.763255519113,0.943399092704,0.960155363526,0.939955503554,0.933564543449,0.972510905544
amp:3.1.3.5,0.914233627668,0.94240069822,0.893613319653,0.90869917208,0.942753212757,0.911401631345,0.919752121458,0.94162688168
nadph:1.7.1.7,0.919275123558,0.931944444444,0.903606557377,0.941643509329,0.946873870618,0.919716002185,0.900473933649,0.925569620253
pep:2.5.1.54,0.919619510661,0.951493403725,0.891702493566,0.933816964707,0.942850975481,0.935843585108,0.889663888031,0.974760326346
f6p:2.7.1.11,0.920381460593,0.932920501643,0.875560404123,0.934027886923,0.949891136913,0.921711847244,0.942055635098,0.96975380415
s7p:2.2.1.2,0.89701524897,0.859937094555,0.903192934783,0.97850030175,0.966691988547,0.914210890702,0.959877238428,0.969232430098
atp:2.7.1.39,0.9270601939,0.948333525691,0.909628515908,0.919520978406,0.951290072585,0.921484146233,0.934294944508,0.950029300232
atp:6.3.4.21,0.928093765729,0.949082206777,0.910885354008,0.920652238599,0.951998079923,0.922590134113,0.935233160622,0.950754684461
