,EC_number,bigg.metabolite,KI_Value,growth condition,concentration,saturation,met:EC
144,2.7.11.5,amp,0.008,Galactose,0.5657,0.986055429667,amp:2.7.11.5
145,2.7.7.27,amp,0.007,Galactose,0.5657,0.987777195739,amp:2.7.7.27
146,2.7.9.3,amp,0.17,Galactose,0.5657,0.768927551991,amp:2.7.9.3
147,3.1.3.11,amp,0.00062,Galactose,0.5657,0.998905212601,amp:3.1.3.11
148,3.1.3.5,amp,23.0,Galactose,0.5657,0.0240052279372,amp:3.1.3.5
149,6.1.1.1,amp,0.35,Galactose,0.5657,0.617778748498,amp:6.1.1.1
150,1.1.1.169,atp,0.61,Galactose,4.0886,0.870174094411,atp:1.1.1.169
151,1.6.5.11,atp,9.0,Galactose,4.0886,0.312378711245,atp:1.6.5.11
152,2.7.2.8,atp,30.4,Galactose,4.0886,0.118549317746,atp:2.7.2.8
153,3.1.3.31,atp,0.0017,Galactose,4.0886,0.999584382564,atp:3.1.3.31
154,3.1.3.41,atp,0.5,Galactose,4.0886,0.891034302402,atp:3.1.3.41
155,3.1.3.5,atp,24.1,Galactose,4.0886,0.145044450594,atp:3.1.3.5
156,3.1.3.6,atp,24.1,Galactose,4.0886,0.145044450594,atp:3.1.3.6
157,3.6.1.11,atp,24.1,Galactose,4.0886,0.145044450594,atp:3.6.1.11
158,3.6.3.16,atp,0.792,Galactose,4.0886,0.837724869893,atp:3.6.3.16
159,6.3.4.14,atp,27.0,Galactose,4.0886,0.13151444581,atp:6.3.4.14
160,1.1.1.42,pep,0.31,Galactose,0.4054,0.566675985463,pep:1.1.1.42
161,2.7.11.5,pep,0.55,Galactose,0.4054,0.424324890098,pep:2.7.11.5
162,4.1.3.1,pep,0.893,Galactose,0.4054,0.312230437461,pep:4.1.3.1
163,1.1.1.49,nadph,0.01,Galactose,0.1378,0.932341001353,nadph:1.1.1.49
164,1.1.1.86,nadph,0.0012,Galactose,0.1378,0.991366906475,nadph:1.1.1.86
165,1.5.1.30,nadph,0.0035,Galactose,0.1378,0.975230007077,nadph:1.5.1.30
166,1.6.1.2,nadph,0.26,Galactose,0.1378,0.346405228758,nadph:1.6.1.2
167,2.7.11.5,nadph,0.042,Galactose,0.1378,0.766407119021,nadph:2.7.11.5
168,1.1.1.94,nad,0.2,Galactose,5.15,0.96261682243,nad:1.1.1.94
169,1.6.5.11,nad,0.02,Galactose,5.15,0.996131528046,nad:1.6.5.11
170,1.1.1.94,nadp,0.25,Galactose,0.0168,0.0629685157421,nadp:1.1.1.94
171,1.5.1.30,nadp,0.0139,Galactose,0.0168,0.547231270358,nadp:1.5.1.30
172,1.6.1.2,nadp,0.17,Galactose,0.0168,0.0899357601713,nadp:1.6.1.2
173,1.8.1.9,nadp,0.015,Galactose,0.0168,0.528301886792,nadp:1.8.1.9
174,1.17.4.1,gdp,0.007,Galactose,0.3386,0.97974537037,gdp:1.17.4.1
175,3.6.5.4,gdp,0.0002,Galactose,0.3386,0.999409681228,gdp:3.6.5.4
176,1.8.1.4,nadh,0.009,Galactose,0.2898,0.969879518072,nadh:1.8.1.4
177,2.3.3.16,nadh,0.0028,Galactose,0.2898,0.99043062201,nadh:2.3.3.16
178,2.1.3.2,fum,5.3,Galactose,0.5485,0.0937847311276,fum:2.1.3.2
179,2.1.3.2,succ,3.5,Galactose,2.3828,0.405045216564,succ:2.1.3.2
180,2.6.1.19,succ,27.0,Galactose,2.3828,0.0810950624175,succ:2.6.1.19
181,2.7.2.4,succ,159.0,Galactose,2.3828,0.0147648944001,succ:2.7.2.4
182,6.3.4.4,succ,0.89,Galactose,2.3828,0.728061598631,succ:6.3.4.4
183,2.3.3.16,akg,0.76,Galactose,0.196,0.205020920502,akg:2.3.3.16
184,2.3.3.9,pyr,0.65,Galactose,7.2445,0.917664196593,pyr:2.3.3.9
185,2.7.11.5,pyr,0.2,Galactose,7.2445,0.973134528847,pyr:2.7.11.5
186,4.1.2.52,pyr,0.51,Galactose,7.2445,0.934231736411,pyr:4.1.2.52
187,4.1.3.39,pyr,0.51,Galactose,7.2445,0.934231736411,pyr:4.1.3.39
188,2.7.11.5,icit,0.016,Galactose,0.0369,0.697542533081,icit:2.7.11.5
189,2.7.4.1,gmp,0.0007,Galactose,0.1813,0.996153846154,gmp:2.7.4.1
190,3.1.3.11,f1p,1.0,Galactose,0.0482,0.0459835909178,f1p:3.1.3.11
191,3.2.2.9,ade,0.3,Galactose,0.0129,0.0412272291467,ade:3.2.2.9
192,6.3.3.3,ade,2.2,Galactose,0.0129,0.00582945456189,ade:6.3.3.3
193,4.1.2.13,dhap,0.13,Galactose,1.0031,0.885270496867,dhap:4.1.2.13
194,6.3.4.2,gtp,0.12,Galactose,1.4481,0.923474268223,gtp:6.3.4.2
195,1.1.1.169,adp,1.05,Glucose,1.3906,0.569777923461,adp:1.1.1.169
196,1.1.1.94,adp,0.8,Glucose,1.3906,0.634803250251,adp:1.1.1.94
197,1.6.5.11,adp,0.7,Glucose,1.3906,0.665167894384,adp:1.6.5.11
198,2.7.1.170,adp,0.4,Glucose,1.3906,0.776611191779,adp:2.7.1.170
199,2.7.1.56,adp,0.28,Glucose,1.3906,0.83239554651,adp:2.7.1.56
200,2.7.11.5,adp,0.45,Glucose,1.3906,0.755514506139,adp:2.7.11.5
201,2.7.2.11,adp,0.06,Glucose,1.3906,0.958637805046,adp:2.7.2.11
202,2.7.4.1,adp,0.09,Glucose,1.3906,0.93921383223,adp:2.7.4.1
203,2.7.6.1,adp,0.334,Glucose,1.3906,0.80633190305,adp:2.7.6.1
204,3.1.3.31,adp,0.0013,Glucose,1.3906,0.999066024858,adp:3.1.3.31
205,1.1.1.169,amp,6.3,Glucose,1.1091,0.149694294854,amp:1.1.1.169
206,1.1.1.94,amp,5.0,Glucose,1.1091,0.181548836981,amp:1.1.1.94
207,1.6.1.2,amp,3.4,Glucose,1.1091,0.245969262159,amp:1.6.1.2
208,1.6.5.11,amp,0.5,Glucose,1.1091,0.689267292275,amp:1.6.5.11
209,2.7.11.5,amp,0.008,Glucose,1.1091,0.992838599946,amp:2.7.11.5
210,2.7.7.27,amp,0.007,Glucose,1.1091,0.993728160559,amp:2.7.7.27
211,2.7.9.3,amp,0.17,Glucose,1.1091,0.867094050504,amp:2.7.9.3
212,3.1.3.11,amp,0.00062,Glucose,1.1091,0.999441300508,amp:3.1.3.11
213,3.1.3.5,amp,23.0,Glucose,1.1091,0.0460033763185,amp:3.1.3.5
214,6.1.1.1,amp,0.35,Glucose,1.1091,0.760126105133,amp:6.1.1.1
215,1.1.1.169,atp,0.61,Glucose,7.933,0.928596511764,atp:1.1.1.169
216,1.6.5.11,atp,9.0,Glucose,7.933,0.468493474281,atp:1.6.5.11
217,2.7.2.8,atp,30.4,Glucose,7.933,0.206949625649,atp:2.7.2.8
