,NumRef,Refs
arg__l-->acgk,1,642354
gtp-->ppc,1,4286
dtdprmn-->galui,1,643748
ca2-->glcp2,1,488238
gmp-->gmps2,1,649891
ppgpp-->adss,1,1542
pyr-->mals,2,660456;706621
atp-->orpt,1,489719
dtdpglu-->g1ptt,1,643081
ocdca-->dagk160,1,640361
ppi-->gdpmnp,1,657184
glyb-->glns,1,667442
cys__l-->uglt,2,642823;642834
cd2-->lacz,1,171273
accoa-->pdh,1,348914
atp-->acgk,1,659704
4abz-->adcs,1,644230
ca2-->atps4rpp,1,210238
amp-->tyrtrs,1,650300
ump-->ompdc,1,649973
glyald-->dxps,1,719975
glx-->icl,1,33156
zn2-->hbzopt,1,704240
pi-->pgpp120,2,94810;94818
meoh-->uagpt3,1,488978
adp-->orpt,1,489719
agm-->argdc,2,4085;4086
tre6p-->glgc,1,643144
zn2-->kdops,3,637395;637397;637416
cinnm-->kas15,1,719087
cu2-->ppm2,1,3340
met__d-->glusy,1,391438
hg2-->kdopp,2,646344;652389
asp__l-->asns1,1,1692
hom__l-->aspk,1,642329
dtdpglu-->udpg4e,1,2320
cl-->asp1dc,1,3973
nadp-->glusy,2,391438;391442
g6p-->pyk,1,641557
cobalt2-->sulri,1,656421
mn2-->ddglk,1,636960
zn2-->pgamt,1,210870
akg-->pps,2,645472;645473
urea-->tkt1,1,692117
dttp-->gtpci,1,209546
pap-->papsr,1,133778
gthox-->adsk,1,641217
glu__l-->aspk,1,642329
ca2-->sulri,1,656421
zn2-->acoda,1,171960
pep-->mgsa,2,137600;137601
pydx5p-->glyc3pabcpp,1,718976
ni2-->g5sd,1,390308
mn2-->pants,1,977
cit-->fba,1,4914
ca2-->pyk,1,654470
hg2-->a5piso,4,652445;660993;671856;715380
adpglc-->agmhe,2,2357;653940
val__l-->achbs,8,395884;395885;395887;395900;671290;672368;675377;700782
his__l-->glusy,1,391438
aso3-->trdr,1,394931
so4-->tala,1,486027
nad-->ntrir2x,2,392926;392928
4abut-->pants,3,977;978;979
xyl__d-->ppbngs,1,691351
uacgam-->uag2e,4,2264;2265;2268;661247
cys__l-->fba,1,4913
orn-->csnd,1,209497
atp-->g3pd2,1,669177
ser__l-->glns,1,37497
nadh-->udpg4e,2,2320;2332
atp-->gmpr,1,394292
ile__l-->csnd,1,209497
lald__l-->lcadi,1,288133
mal__d-->aspt,2,6016;649266
leu__l-->achbs,4,395882;395884;395900;700782
1pyr5c-->gf6pta,1,639926
5mta-->apcs,1,392545
adp-->g3pd2,1,669177
cu2-->dxprii,1,286427
fe2-->asp1dc,1,3992
ins-->aspct,1,485837
akg-->ileta,3,721470;722933;722998
succ-->adss,3,1537;649423;652356
gtp-->impd,1,347946
mg2-->pants,1,977
cu2-->thd2pp,1,725040
uri-->cytd,12,209641;209644;209645;209646;209648;209655;209656;209660;209661;209665;209668;209669
